# START:9/30/2024 10:29:40 AM APP:tmon VERSION:0.91 FILE:tmon_rn-24.csv
# Ctrl Rate(secs):6
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr
11:02:40,27.60,25.00,0.00
11:02:46,27.60,25.00,0.00
11:02:52,27.60,25.00,0.00
11:02:58,27.60,25.00,0.00
11:03:04,27.70,25.00,0.00
11:03:10,27.60,25.00,0.00
11:03:16,27.60,25.00,0.00
11:03:22,27.80,25.00,0.00
11:03:28,27.60,25.00,0.00
11:03:34,27.60,25.00,0.00
11:03:40,27.60,25.00,0.00
11:03:46,27.60,25.00,0.00
11:03:52,27.60,25.00,0.00
11:03:58,27.60,25.00,0.00
11:04:04,27.60,25.00,0.00
11:04:10,27.60,25.00,0.00
11:04:16,27.60,25.00,0.00
11:04:22,27.60,25.00,0.00
11:04:28,27.60,25.00,0.00
11:04:34,27.60,25.00,0.00
11:04:40,27.50,25.00,0.00
11:04:46,27.60,25.00,0.00
11:04:52,27.60,25.00,0.00
11:04:58,27.60,25.00,0.00
11:05:04,27.60,25.00,0.00
11:05:10,27.60,25.00,0.00
11:05:16,27.60,25.00,0.00
11:05:22,27.60,25.00,0.00
11:05:28,27.60,25.00,0.00
11:05:34,27.60,25.00,0.00
11:05:40,27.70,25.00,0.00
11:05:46,27.60,25.00,0.00
11:05:52,27.70,25.00,0.00
11:05:58,27.60,25.00,0.00
11:06:04,27.60,25.00,0.00
11:06:10,27.60,25.00,0.00
11:06:16,27.60,25.00,0.00
11:06:22,27.60,25.00,0.00
11:06:28,27.60,25.00,0.00
11:06:34,27.60,25.00,0.00
11:06:40,27.60,25.00,0.00
11:06:46,27.60,25.00,0.00
11:06:52,27.60,25.00,0.00
11:06:58,27.60,25.00,0.00
11:07:04,27.60,25.00,0.00
11:07:10,27.60,25.00,0.00
11:07:16,27.60,25.00,0.00
11:07:22,27.60,25.00,0.00
11:07:28,27.60,25.00,0.00
11:07:34,27.60,25.00,0.00
11:07:40,27.60,25.00,0.00
11:07:46,27.70,25.00,0.00
11:07:52,27.70,25.00,0.00
11:07:58,27.60,25.00,0.00
11:08:04,27.60,25.00,0.00
11:08:10,27.60,25.00,0.00
11:08:16,27.60,25.00,0.00
11:08:22,27.60,25.00,0.00
11:08:28,27.60,25.00,0.00
11:08:34,27.70,25.00,0.00
11:08:40,27.60,25.00,0.00
11:08:46,27.60,25.00,0.00
11:08:52,27.60,25.00,0.00
11:08:58,27.60,25.00,0.00
11:09:04,27.50,25.00,0.00
11:09:10,27.60,25.00,0.00
11:09:16,27.50,25.00,0.00
11:09:22,27.70,25.00,0.00
11:09:28,27.70,25.00,0.00
11:09:34,27.60,25.00,0.00
11:09:40,27.60,25.00,0.00
11:09:46,27.60,25.00,0.00
11:09:52,27.60,25.00,0.00
11:09:58,27.60,25.00,0.00
11:10:04,27.60,25.00,0.00
11:10:10,27.60,25.00,0.00
11:10:16,27.70,25.00,0.00
11:10:22,27.60,25.00,0.00
11:10:28,27.70,25.00,0.00
11:10:34,27.60,25.00,0.00
11:10:40,27.60,25.00,0.00
11:10:46,27.70,25.00,0.00
11:10:52,27.60,25.00,0.00
11:10:58,27.60,25.00,0.00
11:11:04,27.60,25.00,0.00
11:11:10,27.60,25.00,0.00
11:11:16,27.60,25.00,0.00
11:11:22,27.60,25.00,0.00
11:11:28,27.70,25.00,0.00
11:11:34,27.70,25.00,0.00
11:11:40,27.60,25.00,0.00
11:11:46,27.60,25.00,0.00
11:11:52,27.60,25.00,0.00
11:11:58,27.60,25.00,0.00
11:12:04,27.70,25.00,0.00
11:12:10,27.60,25.00,0.00
11:12:16,27.60,25.00,0.00
11:12:22,27.60,25.00,0.00
11:12:28,27.60,25.00,0.00
11:12:34,27.60,25.00,0.00
11:12:40,27.60,25.00,0.00
11:12:46,27.60,25.00,0.00
11:12:52,27.60,25.00,0.00
11:12:58,27.70,25.00,0.00
11:13:04,27.60,25.00,0.00
11:13:10,27.60,25.00,0.00
11:13:16,27.60,25.00,0.00
11:13:22,27.60,25.00,0.00
11:13:28,27.60,25.00,0.00
11:13:34,27.60,25.00,0.00
11:13:40,27.60,25.00,0.00
11:13:46,27.60,25.00,0.00
11:13:52,27.60,25.00,0.00
11:13:58,27.60,25.00,0.00
11:14:04,27.60,25.00,0.00
11:14:10,27.60,25.00,0.00
11:14:16,27.60,25.00,0.00
11:14:22,27.60,25.00,0.00
